,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,sqrt_BALANCE_FREQUENCY,sqrt_CASH_ADVANCE_FREQUENCY,sqrt_PURCHASES_TRX,avg_oneoff_purchases,avg_installment_purchases,avg_cash_advance,digit_BALANCE,digit_BALANCE_FREQUENCY,digit_PURCHASES,digit_ONEOFF_PURCHASES,digit_INSTALLMENTS_PURCHASES,digit_CASH_ADVANCE,digit_PURCHASES_FREQUENCY,digit_ONEOFF_PURCHASES_FREQUENCY,digit_PURCHASES_INSTALLMENTS_FREQUENCY,digit_CASH_ADVANCE_FREQUENCY,digit_CASH_ADVANCE_TRX,digit_PURCHASES_TRX,digit_CREDIT_LIMIT,digit_PAYMENTS,digit_MINIMUM_PAYMENTS,digit_PRC_FULL_PAYMENT,digit_sqrt_BALANCE_FREQUENCY,digit_sqrt_CASH_ADVANCE_FREQUENCY,digit_sqrt_PURCHASES_TRX,digit_avg_oneoff_purchases,digit_avg_installment_purchases,digit_avg_cash_advance,CUST_ID,TENURE,cluster
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.50978700000002,0.0,0.9045341342370667,0.0,1.4142135623730951,0.0,1144.8045792183168,0.0,1,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,C10001,12,0
1,3202.467416,0.909091,0.0,0.0,0.0,6442.9454829999995,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032596999999,1072.340217,0.22222199999999998,0.9534626369187206,0.5,0.0,0.0,0.0,1610.7363707499999,2,8,1,1,1,2,1,1,1,2,1,1,2,1,1,2,8,3,1,1,1,1,C10002,12,0
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,1.0,0.0,3.4641016151377544,773.17,0.0,0.0,2,8,1,1,1,1,8,8,1,1,1,1,2,1,1,1,8,1,2,1,1,1,C10003,12,2
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.4522915,0.0,0.797724263138586,0.28867455724396635,1.0,17988.07195228781,0.0,205.788017,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7,2,1,2,1,1,C10004,12,0
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.79123700000002,0.0,1.0,0.0,1.0,192.000768003072,0.0,0.0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,C10005,12,0
5,1809.8287510000002,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,1.0,0.0,2.8284271247461903,0.0,2285.6241632138076,0.0,1,8,1,1,1,1,6,1,5,1,1,1,1,1,1,1,8,1,2,1,1,1,C10006,12,1
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,1.0,0.0,8.0,6402.63,688.38,0.0,1,8,2,2,1,1,8,8,8,1,1,2,4,2,1,8,8,1,4,1,1,1,C10007,12,2
7,1823.6527429999999,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.0650820000001,532.03399,0.0,1.0,0.0,3.4641016151377544,0.0,436.2,0.0,1,8,1,1,1,1,8,1,8,1,1,1,1,1,1,1,8,1,2,1,1,1,C10008,12,1
8,1014.9264730000001,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,1.0,0.0,2.23606797749979,7937.911751647006,800.0,0.0,1,8,1,1,1,1,3,1,3,1,1,1,2,1,1,1,8,1,1,1,1,1,C10009,12,0
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,0.7385492536046597,0.0,1.7320508075688772,7689.584620830758,0.0,0.0,1,5,1,1,1,1,2,2,1,1,1,1,3,1,1,1,6,1,1,1,1,1,C10010,12,0
