,digit_BALANCE,digit_PURCHASES,digit_ONEOFF_PURCHASES,digit_INSTALLMENTS_PURCHASES,digit_CASH_ADVANCE,digit_PURCHASES_FREQUENCY,digit_ONEOFF_PURCHASES_FREQUENCY,digit_PURCHASES_INSTALLMENTS_FREQUENCY,digit_CASH_ADVANCE_TRX,digit_CREDIT_LIMIT,digit_PAYMENTS,digit_MINIMUM_PAYMENTS,digit_PRC_FULL_PAYMENT,digit_sqrt_BALANCE_FREQUENCY,digit_sqrt_CASH_ADVANCE_FREQUENCY,digit_sqrt_PURCHASES_TRX,digit_avg_oneoff_purchases,digit_avg_installment_purchases,digit_avg_cash_advance,TENURE
0,1,1,1,1,1,2,1,1,1,1,1,1,1,8,1,1,1,1,1,12
1,2,1,1,1,2,1,1,1,1,2,1,1,2,8,3,1,1,1,1,12
2,2,1,1,1,1,8,8,1,1,2,1,1,1,8,1,2,1,1,1,12
3,1,1,1,1,1,1,1,1,1,2,1,1,1,7,2,1,2,1,1,12
4,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
5,1,1,1,1,1,6,1,5,1,1,1,1,1,8,1,2,1,1,1,12
6,1,2,2,1,1,8,8,8,1,4,2,1,8,8,1,4,1,1,1,12
7,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
8,1,1,1,1,1,3,1,3,1,2,1,1,1,8,1,1,1,1,1,12
9,1,1,1,1,1,2,2,1,1,3,1,1,1,6,1,1,1,1,1,12
10,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
11,1,1,1,1,1,3,3,1,1,1,1,1,1,8,1,2,1,1,1,12
12,1,1,1,1,1,8,3,8,1,1,1,1,3,8,1,3,1,1,1,12
13,1,1,1,1,1,7,2,7,1,2,1,1,1,8,1,3,1,1,1,12
14,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
15,3,1,1,1,1,5,1,5,1,3,1,1,1,8,2,2,1,1,1,12
16,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,8
17,1,1,1,1,1,4,1,3,1,1,1,1,3,6,1,2,1,1,1,12
18,1,1,1,1,1,6,1,5,1,4,1,1,1,8,1,2,1,1,1,12
19,2,1,1,1,1,8,1,8,1,2,1,2,1,8,1,2,1,1,1,12
20,1,1,1,1,1,6,1,6,1,1,1,2,1,8,1,2,1,1,1,12
21,3,2,2,1,1,8,8,8,1,3,1,1,1,8,3,5,1,1,1,12
22,1,1,1,1,1,8,1,8,1,1,1,1,1,7,1,2,1,1,1,12
23,2,1,1,1,2,8,1,8,1,3,2,1,1,8,3,2,4,1,1,12
24,3,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,11
25,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
26,1,1,1,1,1,2,2,1,1,1,1,1,1,8,3,1,1,1,1,12
27,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
28,4,1,1,1,1,6,2,4,2,3,1,1,1,8,4,2,1,1,1,12
29,1,1,1,1,1,4,1,4,1,2,1,1,1,8,1,1,1,1,1,12
30,6,1,1,1,1,8,2,8,1,4,1,1,1,8,3,4,1,1,1,12
31,1,1,1,1,1,8,1,8,1,2,1,1,1,8,2,3,1,1,1,12
32,3,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
33,1,1,1,1,1,8,8,1,1,1,1,1,3,8,1,2,1,1,1,12
34,2,1,1,1,1,8,1,8,1,3,2,2,1,7,1,2,1,1,1,12
35,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
